acquisition_date,acquisition_count,product_ids,acquisition_datetimes,tile_cloud_cover_min,tile_cloud_cover_mean,tile_cloud_cover_max,interval_from,interval_to,geometry_pixel_count,sample_count,no_data_count,valid_pixel_count,valid_pixel_ratio,ndre_min,ndre_max,ndre_mean,ndre_std,ndre_p10,ndre_p25,ndre_median,ndre_p75,ndre_p90,ratio_ndre_below_0,ratio_ndre_0_0_2,ratio_ndre_0_2_0_4,ratio_ndre_0_4_0_6,ratio_ndre_0_6_0_8,ratio_ndre_above_0_8,site_id,name,crop_type,is_usable,ndre_change_from_previous_usable,ndre_rolling_mean_3
2026-01-01,2,S2B_MSIL2A_20260101T104339_N0511_R008_T31TFK_20260101T125029.SAFE | S2B_MSIL2A_20260101T104339_N0511_R008_T31TFL_20260101T125029.SAFE,2026-01-01T10:48:20.895000+00:00 | 2026-01-01T10:48:35.102000+00:00,3.89,10.375,16.86,2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,52,60,8,52,1.0,0.3903002440929413,0.5043478012084961,0.47280811117245597,0.02209104089352285,0.454873651266098,0.4605656564235687,0.4781654477119446,0.4878291189670563,0.501298725605011,0.0,0.0,0.019230769230769232,0.9807692307692307,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.47454444859333583,0.2748550412693593
2026-01-03,2,S2C_MSIL2A_20260103T103441_N0511_R108_T31TFK_20260103T142711.SAFE | S2C_MSIL2A_20260103T103441_N0511_R108_T31TFL_20260103T142711.SAFE,2026-01-03T10:38:31.361000+00:00 | 2026-01-03T10:38:46.069000+00:00,36.23,53.78,71.33,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-05,2,S2A_MSIL2A_20260105T103041_N0511_R108_T31TFK_20260105T143010.SAFE | S2A_MSIL2A_20260105T103041_N0511_R108_T31TFL_20260105T143010.SAFE,2026-01-05T10:38:46.791000+00:00 | 2026-01-05T10:39:01.508000+00:00,16.61,19.685000000000002,22.76,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,52,60,8,52,1.0,0.29899856448173523,0.4405113160610199,0.3753545639606623,0.03238417693084701,0.3400143086910248,0.3489023745059967,0.3732667863368988,0.401976078748703,0.4225621521472931,0.0,0.0,0.75,0.25,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.09745354721179367,0.28214211257074623
2026-01-06,2,S2C_MSIL2A_20260106T104441_N0511_R008_T31TFK_20260106T143414.SAFE | S2C_MSIL2A_20260106T104441_N0511_R008_T31TFL_20260106T143414.SAFE,2026-01-06T10:48:27.193000+00:00 | 2026-01-06T10:48:41.389000+00:00,27.27,55.195,83.12,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,52,60,26,34,0.6538461538461539,0.1371801793575287,0.17969997227191925,0.15796241865438573,0.011135613724293534,0.1485459804534912,0.15012986958026886,0.15907184779644012,0.1688229739665985,0.17239370942115784,0.0,1.0,0.0,0.0,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,-0.21739214530627657,0.3353750312625014
2026-01-08,4,S2B_MSIL2A_20260108T103319_N0511_R108_T31TFK_20260108T125529.SAFE | S2B_MSIL2A_20260108T103319_N0511_R108_T31TFK_20260108T143058.SAFE | S2B_MSIL2A_20260108T103319_N0511_R108_T31TFL_20260108T125529.SAFE | S2B_MSIL2A_20260108T103319_N0511_R108_T31TFL_20260108T143058.SAFE,2026-01-08T10:38:21.567000+00:00 | 2026-01-08T10:38:28.042000+00:00 | 2026-01-08T10:38:28.313000+00:00 | 2026-01-08T10:38:36.735000+00:00,94.01,98.465,99.98,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-11,2,S2B_MSIL2A_20260111T104319_N0511_R008_T31TFK_20260111T130610.SAFE | S2B_MSIL2A_20260111T104319_N0511_R008_T31TFL_20260111T130610.SAFE,2026-01-11T10:48:19.013000+00:00 | 2026-01-11T10:48:33.231000+00:00,8.14,8.835,9.53,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,52,60,8,52,1.0,0.39808982610702515,0.4808584749698639,0.44847251073672223,0.01950253701258482,0.423298716545105,0.4392329752445221,0.45151257514953613,0.46298620104789734,0.46792173385620117,0.0,0.0,0.038461538461538464,0.9615384615384616,0.0,0.0,site_001,Parcelle abricotiers,abricotier,True,0.29051009208233647,0.32726316445059017
2026-01-13,2,S2C_MSIL2A_20260113T103411_N0511_R108_T31TFK_20260113T141911.SAFE | S2C_MSIL2A_20260113T103411_N0511_R108_T31TFL_20260113T141911.SAFE,2026-01-13T10:38:26.847000+00:00 | 2026-01-13T10:38:41.560000+00:00,73.81,81.66,89.51,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-16,2,S2C_MSIL2A_20260116T104401_N0511_R008_T31TFK_20260116T143510.SAFE | S2C_MSIL2A_20260116T104401_N0511_R008_T31TFL_20260116T143510.SAFE,2026-01-16T10:48:22.485000+00:00 | 2026-01-16T10:48:36.697000+00:00,71.2,84.08500000000001,96.97,2026-01-16T00:00:00Z,2026-01-17T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-18,2,S2B_MSIL2A_20260118T103249_N0511_R108_T31TFK_20260118T142238.SAFE | S2B_MSIL2A_20260118T103249_N0511_R108_T31TFL_20260118T142238.SAFE,2026-01-18T10:38:21.676000+00:00 | 2026-01-18T10:38:36.405000+00:00,99.99,99.995,100.0,2026-01-18T00:00:00Z,2026-01-19T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-21,2,S2B_MSIL2A_20260121T104239_N0511_R008_T31TFK_20260121T143640.SAFE | S2B_MSIL2A_20260121T104239_N0511_R008_T31TFL_20260121T143640.SAFE,2026-01-21T10:48:18.032000+00:00 | 2026-01-21T10:48:32.250000+00:00,68.19,76.38499999999999,84.58,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
2026-01-23,2,S2C_MSIL2A_20260123T103331_N0511_R108_T31TFK_20260123T143010.SAFE | S2C_MSIL2A_20260123T103331_N0511_R108_T31TFL_20260123T143010.SAFE,2026-01-23T10:38:24.122000+00:00 | 2026-01-23T10:38:38.841000+00:00,99.6,99.69999999999999,99.8,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z,52,60,60,0,0.0,NaN,NaN,,NaN,,,,,,,,,,,,site_001,Parcelle abricotiers,abricotier,False,,
